# MGB64 native-port frame-time baseline — 2026-07-01, Apple M3 Max, -O3 Release,
# macOS OpenGL-over-Metal, default settings, deterministic spawn view.
# Generated by tools/perf_census.sh. See docs/PERFORMANCE_PLAN.md §3.
# default_ms/xluoff_ms = mean per-frame GE007_PERF_TRACE work_ms.
# speedup = default/xluoff (high ⇒ dominated by the per-triangle FB-copy defect, §4.1).
level,default_ms,default_fps,xluoff_ms,speedup
dam,19.94,50,16.76,1.19x
facility,5.82,172,5.34,1.09x
runway,9.41,106,6.82,1.38x
surface1,18.35,54,4.73,3.88x
bunker1,6.75,148,6.71,1.01x
silo,4.62,216,4.59,1.01x
frigate,13.21,76,13.20,1.00x
surface2,23.74,42,4.68,5.07x
bunker2,5.85,171,4.77,1.23x
statue,11.98,83,4.53,2.64x
archives,7.53,133,6.63,1.14x
streets,8.28,121,6.45,1.28x
depot,7.29,137,5.59,1.30x
train,3.71,270,3.73,0.99x
jungle,55.17,18,7.60,7.26x
control,14.06,71,12.80,1.10x
caverns,6.14,163,6.03,1.02x
cradle,33.32,30,6.08,5.48x
aztec,4.74,211,5.52,0.86x
egypt,14.18,71,10.75,1.32x
